what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1656561608800
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1656561608800
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1656561608800
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1656561608800
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1656561608800
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1656561608804
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1656561608804
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1656561608804
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1656561608804
os,sysinfo,,,"win32",1656561608804
arch,sysinfo,,,"x86",1656561608804
ws,sysinfo,,,"win32",1656561608804
locale,sysinfo,,,"en_US",1656561608804
processors,sysinfo,,,"8",1656561608804
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1656561608804
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1656561608804
java.specification.name,sysinfo,,,"Java Platform API Specification",1656561608804
java.specification.vendor,sysinfo,,,"Oracle Corporation",1656561608804
java.specification.version,sysinfo,,,"1.7",1656561608804
java.vendor,sysinfo,,,"Oracle Corporation",1656561608804
java.version,sysinfo,,,"1.7.0_02",1656561608804
java.vm.info,sysinfo,,,"mixed mode, sharing",1656561608804
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1656561608804
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1656561608804
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1656561608804
java.vm.specification.version,sysinfo,,,"1.7",1656561608804
java.vm.vendor,sysinfo,,,"Oracle Corporation",1656561608804
java.vm.version,sysinfo,,,"22.0-b10",1656561608804
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1656561609245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656561610237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656566041219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656566042713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656566049469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656566157870
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1656566161854
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1656566161916
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1656566161963
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1656566162119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656566429323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567265166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567277549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567468967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567478132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567563023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567681164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567903261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567909761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567912151
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656567912276
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1656567912604
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1656567912714
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1657813896061
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1657813896061
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1657813896061
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1657813896061
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1657813896061
