what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1655817743230
java.vm.version,sysinfo,,,"22.0-b10",1655817743230
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1655817747774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655817748258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655817750867
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1655817752382
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1655817752444
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1655817752476
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1655817752538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655817757834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655817824278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655817934732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655818493374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655818494598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655818643332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655818647878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819516220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1655819533033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819635602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819686364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819688598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819689957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819696394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819797314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655819798551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655824811632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655824812521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655824813757
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1655824813877
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1655824814106
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1655824814221
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1655824814223
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1655824936195
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1655824936195
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1655824936199
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1655824936199
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1655824936199
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1655824936199
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1655824936203
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1655824936203
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1655824936203
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1655824936203
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1655824936203
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1655824936203
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1655824936203
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1655824936203
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1655824936207
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1655824936207
