what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.7",1657817503439
java.vm.vendor,sysinfo,,,"Oracle Corporation",1657817503439
java.vm.version,sysinfo,,,"22.0-b10",1657817503439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817505940
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1657817508450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817512191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817514034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817520651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817521753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817526073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817529678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817547942
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1657817555232
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1657817556038
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1657817556038
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1657817556074
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1657817556074
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1657817556226
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1657817556234
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1657817556283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817559911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817577964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817579479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817582759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817587212
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1657817592884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817593212
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1657817593337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1657817593399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817594477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817600903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817602653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817605950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817752530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817753389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817754514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817765199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817780534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817784705
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1657817786049
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1657817789439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817789533
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1657817797297
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1657817797407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817797547
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1657817797672
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1657817797735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817805156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817810014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817834808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817841594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817855224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817855348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817865502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817873406
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1657817875928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1657817877787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817886890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817887625
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1657817893592
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1657817893608
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1657817893623
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1657817893654
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1657817893670
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1657817893670
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1657817893686
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1657817893686
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1657817893733
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1657817893733
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1657817893764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817903637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817906871
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1657817921820
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1657817932115
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1657817937207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817937239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1657817938910
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1657817939004
